id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_hms_insurance_claim_insurance_officer,Indimedi Insurance Claim,model_hms_insurance_claim,hms_insurance.group_hms_insurance_officer,1,1,1,0
access_hms_insurance_mediclaim_insurance_officer,Indimedi Insurance Mediclaim,model_hms_insurance_mediclaim,hms_insurance.group_hms_insurance_officer,1,1,1,0
access_hms_insurance_req_doc_insurance_officer,Indimedi Insurance Req Doc,model_hms_insurance_req_doc,hms_insurance.group_hms_insurance_officer,1,1,1,0
access_hms_insurance_mediclaim_doc_type_insurance_officer,Indimedi Insurance Mediclaim Doc Type,model_hms_insurance_mediclaim_doc_type,hms_insurance.group_hms_insurance_officer,1,1,1,0
access_hms_insurance_mediclaim_doc_insurance_officer,Indimedi Insurance Mediclaim Doc,model_hms_insurance_mediclaim_doc,hms_insurance.group_hms_insurance_officer,1,1,1,0
access_hms_insurance_zero_error_binary_insurance_officer,Indimedi Insurance Zero Error Binary,model_hms_insurance_zero_error_binary,hms_insurance.group_hms_insurance_officer,1,1,1,0
access_hms_insurance_zero_error_insurance_officer,Indimedi Insurance Zero Error,model_hms_insurance_zero_error,hms_insurance.group_hms_insurance_officer,1,1,1,0
access_inpatient_registration_insurance_officer,Indimedi Inpatient Registration,hms_hospitalization.model_inpatient_registration,hms_insurance.group_hms_insurance_officer,1,1,0,0
access_hms_insurance_checklist_insurance_officer,insurance checklist,model_hms_insurance_checklist,hms_insurance.group_hms_insurance_officer,1,1,1,0
access_hms_inpatient_insurance_checklist_receptionist,Hms Inpatient Insurance Checklist,model_hms_inpatient_insurance_checklist,hms.group_hms_receptionist,1,1,1,0
access_hms_insurance_checklist_receptionist,Hms insurance checklist,model_hms_insurance_checklist,hms.group_hms_receptionist,1,1,1,0
access_hms_insurance_ot_booking,HMS ot booking,hms_operation_theatre.model_ot_booking,hms_insurance.group_hms_insurance_officer,1,1,1,0
access_hms_insurance_checklist_insurance_officer,HMS Checklist,model_hms_inpatient_insurance_checklist,hms_insurance.group_hms_insurance_officer,1,1,1,0
access_hms_insurance_nurse_checklist_inpatient,checklist inpatient,model_hms_inpatient_insurance_checklist,hms.group_hms_nurse,1,1,1,0
access_hms_insurance_nurse_checklist,checklist,model_hms_insurance_checklist,hms.group_hms_nurse,1,1,1,0
access_hms_insurance_vaccination,vaccination,hms_vaccination.model_vaccination_vaccination,hms_insurance.group_hms_insurance_officer,1,1,1,0
,,,,,,,
