ID,Medicine Name,Generic Name
1,CETZINE 10MG ,DIPHENOXYLATE HCL2.5MG+ATROPINE SULPHATE 0.025MG
2,CITAL SYRUP,ESOMEORAZOLE 40MG+LEVOSULPIRIDE 75MG
3,CITRALKA LIQUID 100ML,ESOMEPRAZOLE 20MG+DOMPERIDONE 30MG
4,CLAVICEF 200MG ,ETHAMBUTOL 1000MG
5,CREMALAX ,FRUSEMIDE 20MG+SPIRONOLACTONE 50MG
6,CREON 25000 CAP,FUNGAL DIASTASE 100MG+PAPAIN 60MG+CHARCOAL 75MG
7,CYCLOPAM,GLIMEPRIDE 2MG
8,CYCLOPAM ,GLIMEPRIDE 2MG+METFORMIN 500MG
9,ELTROXIN 100MCG,
10,CYP L  200ML,GLIPIZIDE 5MG+METFROMIN 500MG
11,CYSTONE ,GLYCOPYROLATE 0.2MG/1ML
12,DILTIGESIC GEL 2% 30G,ISOFLURANE
13,HAPPI IT,PARAFIN 1.25ML/15ML+MILK OF MAGNESIA 3.75ML /15ML+SODIUM PICOSULPHATE 3.33MG/15ML
14,DOLO 500  ,KETORLAC TROMETHAMINE
15,DOXAPEN,LACTITIOL MONOHYDRATE 66.67%
16,DOXAPEN,LACTITOL MONOHYDRATE 10GM/15GM+ISPAGHULA HUSK 3.5GM/15GM
17,DUPHALAC,LEVETRACETAM 750MG
18,DUPHALAC 100ML,LEVOCETRIZINE 5MG
19,DUPHALAC 200ML ,LEVODOPA 100+CARBODPA 25+ENTACAPONE 200
20,DUPHALAC 450ML,LEVODOPA 100MG+CARBODOPA 25MG
21,Duphalac,LEVODOPA 200+CARBODPA 50
22,PAN MPS  200 ML,
23,Numlo 5mg,
24,EVA Q POWDER,METOPROL SUCCINATE 50MG
25,S Numlo 5mg,
26,FAMOCID 20MG,MIDAZOLAM 1MG/1ML
27,Essential Plus ,
28,FAMOCID 40MG,MOFAFINIL 100MG
29,DOLOVERA GEL ,
30,SARTEL-H,
31,MODLERT 200,
32,MODOLERT 200,
33,ANXOZAP 30,
34,HAPPI 20MG,PARACETAMOL 500MG6+CHORPHENIRAMINE 2MG+PHENYLPHRINE HCL 5MG+CAFFEINE 16MG
35,happi,PARACETAMOL 500MG
36,URIVOID 25MG,
37,LIBRAX,S-AMLODIPINE 2.5MG
38,RAPILIFE 8MG,
39,RAPILIFE 8MG - ,
40,Essential BLCD protein powder,
41,Norad 2amp in 46cc NS,
42,KCL 3amp in D5%,
43,Norad 2amp in 46cc D5%,
44,TAZOLAC 40 - TABLET,
45,ETIZOLA 0.5MG,
46,DUOTROL 5/500,
47,STONE 1 B6 ,
48,VELTAM 0.4MG,
49,VELTAM F,
50,VENEX 300MG,
51,VENFLON 16G 1PIC,
52,VENFLON 18G 1PIC,
53,VENFLON 22G 1PIC,
54,VENTILATOR CIRCUIT (A),
55,VENTILATOR CIRCUIT PED. 1PIC,
56,VENUSMIN 300MG,
57,VERIN D,
58,VERTIN 16MG,
59,VERTIN 24MG,
60,VERTIN 8MG,
61,VI SYNERAL 100ML,
62,VI SYNERAL Z 100ML,
63,VIBACT,
64,VIBACT DS ,
65,VICKS COUGH DROPS (ALL),
66,VICKS VAPORAB 25GM,
67,VICRYL 1 NW2347,
68,VICRYL 1 NW2826  E  PORTT,
69,VICRYL 1-0 NW2346,
70,VICRYL 1-0 NW2825 PORT,
71,VICRYL 2-0 NW2317,
72,VICRYL 3-0 NW2437,
73,VICRYL 3-0 NW2516 TAPER CUTTING,
74,VICRYL 4-0 VP2304,
75,VICRYL RAPID 4-0 NW2718,
76,VITAL Z POWDER 210GM,
77,VITAMIN ( K ) 1 ML,
78,VITCOFOL C,
79,VITCOFOL,
80,VITCOFOL ,
81,VIZYL ,
82,VOLINI GEL 30G,
83,VOLUVEN 6% 500ML,
84,VOVERAN EMULGEL,
85,VOVERAN,
86,VOVERAN SR 100MG,
87,WARF 1MG,
88,WARF 2MG,
89,WOKADINE OINTMENT. 15GM,
90,WOKADINE SOLUTION 10% (100ML),
91,WOKADINE SOLUTION 5% (100ML),
92,WYSOLONE 10MG,
93,WYSOLONE 20MG,
94,WYSOLONE 5MG,
95,XAMDEX 1ML 100 MG ,
96,XYKAA RAPID 650 MG,
97,XOIN 0.15 ML,
98,XYLISTIN 1 MIU,
99,XYLISTIN FORTE 2MIU,
100,XYLISTIN FORTE PLUS 3 MIU,
101,XYLOCAINE 2% VIAL,
102,XYLOCAINE VISCOUS 2% 100ML,
103,ZEDEX COUGH 100ML,
104,ZEDEX P 50ML,
105,ZEDEX SF COUGH SYRUP 100ML,
106,ZEDOTT 100MG,
107,ZENPRIDE 25MG ,
108,ZENPRIDE 75 MG OD,
109,ZENTEL 400MG,
110,ZENTEL SUSPENSION,
111,ZIENAM 500MG 1VIAL,
112,ZIFI 100MG DT,
113,ZIFI 200MG,
114,ZIFI CV 200MG,
115,ZINC OXIDE I.P. 20G,
116,ZINCAL CREAM  25GM,
117,ZIVATOR 1GM,
118,ZOBACTIN 4.5G,
119,ZOCEF 500MG,
120,ZOCEF CV 500 MG,
121,ZOLFRESH 10MG,
122,ZOLFRESH 5MG,
123,ZOSTUM 2 GM,
124,ZOSTUM 500MG,
125,ZOXAN D EYE/EAR DROPS,
126,ZYLORIC 100MG,
127,TOPCEF DC,
128,PANTOCID 40MG ,
129,PENTASA 500MG,
130,ALEX SYRUP,AMOXICILIN 750MG+TINIDAZOLE 500MG+OMEPRAZOLE 20MG
131,5D 1000ML,ACELOFENAC 100MG+DROTAVERIN 80MG
132,5D 100ML INJ (G),ACETAZOLAMIDE 0.25MG
133,AUTRIN CAPSULES,CALCIUM +VITAMIN D3+ZINC+MAGNESIUM
134,BEPLEX FORTE 20 ,CEFOPERZONE 2GM+SULBACTAM 1GM
135,BIPLEX FORTE,CLOPIDOGREL 75MG
136,CALPOL 650 ,DEXAMETHASONE 0.5MG
137,THROMBOPHOB OINTMENT 20G,
138,UDILIV 150 MG,
139,THYRONORM 100 MG,
140,TICOCIN 400MG,
141,TINIBA  500 MG,
142,TINIBA INFUSION 400ML,
143,TOBA EYE DROPS,
144,TOLSAMA 15 MG,
145,TONOFOLIC DS,
146,TONOFOLIC Z,
147,TOPCEF 200 MG DT,
148,TORBAC 4.5GM VIAL,
149,TORBULK POWDER 90G,
150,TORFIX 400,
151,TORFIX 550,
152,TORFIX,
153,TORVASON 10 MG,
154,TORVASON 20 MG,
155,TORVASON 40 MG ,
156,TRACHEOSTOMY CUFED NO 5,
157,TRACHEOSTOMY CUFED NO 6,
158,TRACHEOSTOMY CUFED NO 7,
159,TRACHEOSTOMY CUFED NO 8,
160,TRACHEOSTOMY CUFED NO 8.5,
161,TRACHEOSTOMY CUFED NO 9,
162,TRACHEOSTOMY FILTER,
163,TRACHEOSTOMY TUBE NO 3.5,
164,TROPINE 1ML,
165,TRUBOND 0 SN679,
166,TRYPTOMER 10MG,
167,TRYPTOMER 25MG ,
168,TUR SET,
169,TURPENTINE OIL B.P. 400ML,
170,TUS Q DX,
171,VELGUT D SACHET,
172,VELOXIN 500 MG,
173,VELOXIN 750 MG 100 ML,
174,VELOXIN 750MG ,
175,ULTRAGESIC,
176,VELOZ 20 MG,
177,VELOZ D,
178,VELTAM 0.2MG,
179,VENFLON 20G 1PIC,
180,VICKS INHALER,
181,VICRYL 2-0 NW2382,
182,VITAXID,
183,VIZYL SACHET 0.5GM ,
184,VOLINI SPRAY 35ML,
185,VSL#3 ,
186,WARF 3 MG ,
187,WASA MOUSSE,
188,WHISPER PADS (7'PIE.),
189,WICLENZ HAND RUB 100 ML,
190,WICLENZ HAND RUB 500 ML,
191,WIKORYL,
192,WIPES,
193,WOKADINE 10% 500ML,
194,WOKADINE OINTMENT. 125GM,
195,XAMIC 500 MG,
196,XAMIC 750mg,
197,XYLOCAINE ONITMENT,
198,ZANUMET 50/1000,
199,ZENUMET 50/1000,
200,ZEPIZ 0.25 - ,
201,ZEPIZ 0.25 - ,
202,ZEPIZ 0.5,
203,ZEVIT,
204,ZORYL M1,
205,ZORYL M2,
206,EMBET R (5)MG,
207,CLAVIX AS 150,
208,VASELINE WHITE P.JELLY (42G),
209,TIBOFEM (2.5MG),
210,LASILACTONE 20/50mg - TABLET,
211,RAMITORVA,
212,PROTOL AM,
213,AMLOKIND AT ,
214,TELMIKIND 40MG - TABLET,
215,Thyronorm 150mcg ,
216,Glucobay M 50/5,
217,Tab.Ligin D3 60k,
218,ZINFATE 200MG,
219,AQUASOL ,
220,KEBIMURE,
221,BRIMOLOL EYE DROPS,
222,DREP EAR DROPS,
223,WHISPER PADS (8'PIE.),
224,NUPIMET OINTMENT,
225,FENTANYL 1000mcg+MIDAZ 30mg,
226,HUMAN ACTRAPID 50units,
227,SUCRALCOAT O,
228,SUCTION CATHETER NO 12 1PIC,
229,SUCTION CATHETER NO 14 1PIC,
230,SUCTION CATHETER NO 16 1PIC,
231,SUCTION CATHETER NO 8 1PIC,
232,SULBACIN 1.5GM 1 VIAL,
233,SUPACEF 1.5G,
234,SUPACEF 750MG,
235,SUPPOL CHILD SUPPOSITORIES,
236,SUTUPAK 3-0 NW212,
237,SYLATE 250MG,
238,SYLATE 500MG,
239,SYRINGE 10 ML NIPRO,
240,SYRINGE- 20CC (DISPOVAN),
241,SYRINGE- 50CC (DISPOVAN),
242,SYRINGE 5ML  NIPRO,
243,SYRINGE 60ML TOOMEY,
244,SYRINGE-2ML NIPRO,
245,SYSCAN 150MG,
246,SYSCAN 200MG,
247,SYSCAN 100ML,
248,T BACT OINTMENT 5G,
249,T PIECE,
250,T TUBE NO 10 1PIC,
251,T TUBE NO 12 1PIC,
252,T TUBE NO 14 1PIC,
253,T TUBE NO 16 1PIC,
254,TA 30 - 4.8MM GREEN,
255,TA 45 - 3.5MM BLUE,
256,TA 45 - 4.8MM GREEN,
257,TA 60 3.5 MM BLUE,
258,TAMODEX 20MG,
259,TARGOCID 400MG,
260,TAXIM 1GM,
261,TAXIMAX 1500MG,
262,TAZACT 2.25GM,
263,TAZOREN 4.5 G,
264,TCR 10 LINNEAR CUTTER 100 MM,
265,TCR 75 LINNEAR CUT RELOAD BLUE,
266,TEGADERM 1623 6X7 CM,
267,TEGADERM 1624 6X7 CM,
268,TEGADERM 1626( 8526)  10X12 CM,
269,TEGADERM 1627 10X25 CM,
270,TEGADERM PAD 3582 5X7 CM,
271,TEGADERM PAD 3589 9X15 CM,
272,TELMA AM,
273,TELMIRIDE 20MG,
274,TELMIRIDE 40MG,
275,TELMIRIDE H,
276,TENORIC 25MG,
277,TENORIC 50MG,
278,TENORMIN 25MG,
279,TENORMIN 50MG,
280,TERLIFORCE,
281,TERMIN 10ML VIAL 10ML,
282,TETRASPAN 6% 500ML,
283,TEVRAN 50MG,
284,TEXIDEP 0.50MG,
285,THEMIBUTOL 1000MG,
286,THEMIBUTOL 800MG,
287,THERMOKIND MOUTH WASH 100 ML,
288,THERMOMETER DIGITAL,
289,THIOSOL 500MG,
290,TRAMAZAC 50 MG,
291,TRAMAZAC 50 MG,
292,"TRANSPORE 1.25CM  1/2"" 1ROLL",
293,"TRANSPORE 2.50CM 1"" 1ROLL",
294,"TRANSPORE 5 CM 2"" 1 ROLL",
295,"TRANSPORE 7.5 CM 3"" 1 ROLL",
296,TRENAXA 500MG,
297,TRENAXA,
298,TRENAXA MF ,
299,TRH 30 MM CARTEGE,
300,TRH 60 MM CARTEGE,
301,TRIKA 0.25 MG,
302,TRIKA 0.50 MG,
303,TROCAR  X- CEL 5MM,
304,TROCAR APPLE 12MM,
305,TROCAR APPLE 5MM,
306,TROCAR BASX SLEEVE 12MM,
307,TROCAR BASX SLEEVE 5MM,
308,TROCAR ENDOXS 5F X 90 MM,
309,TROCAR ENDOXS 5MM,
310,TROCAR TYCO  12 MM VERSAPORT,
311,TROCAR X-CEL 12MM BARIATRIC,
312,TROCAR X-CEL 5MM BARIATRIC,
313,TROCAR TYCO  5MM VERSAPORT,
314,TROPICACYL PLUS EYE DROPS,
315,SAVLON ANTISEPTIC SOLUTION 100ML,
316,SODAC 25ML ,
317,SODIUM BICARBONATE,
318,SOFRADEX CREAM 20 GM,
319,SOFRAMYCIN SKIN CREAM,
320,SOFTEE MINT SYRUP 200ML,
321,SOFTEE PLUS SYRUP 200ML,
322,SOFTOVAC POWDER 100GM,
323,SOLONEX 300MG,
324,SOLU MEDROL 40MG,
325,SOMATOSTATIN 250MCG ,
326,SOMATOSTATIN 3000 (3MG) 1'VIAL,
327,SOMPRAZ L ,
328,SORBILINE SOLUTION 200ML,
329,SORBITRATE 10MG ,
330,SORBITRATE 5 MG,
331,SPARACID DS SUSPENSION 100ML,
332,SPARTA 200MG,
333,SPASMINDON,
334,SPINAL NEEDEL 22G-120MM,
335,SPINAL NEEDLE 27.G 1,
336,SPINAL NEEDLE B.D 18G 1PIC,
337,SPINAL NEEDLE B.D.20G 1PIC,
338,SPINAL NEEDLE B.D.21G 1PIC,
339,SPINAL NEEDLE B.D.22G 1PIC,
340,SPINAL NEEDLE B.D.23G 1PIC,
341,SPINAL NEEDLE B.D.25G 1PIC,
342,SPINAL NEEDLE LONG 22G 150 CM  VYGON,
343,SPIROMETER ROMSON 1PEC,
344,SPORLAC DS ,
345,SPORLAC POWDER (SACHET) 1G,
346,SR 55 MM NTLC SELECTABLE RELOAD,
347,SR 75 MM NTLC SELECTABLE RELOAD,
348,STAYFREE PADS (14'PIE.),
349,STAYFREE PADS (8'PIE.),
350,STEMETIL MD ,
351,STERINAT M 7.5CM X 7.5CM,
352,STERISTRIP 1541,
353,STERISTRIP 1542,
354,STERISTRIP 1547,
355,STRONGER NEO MINOPHA 20ML,
356,STUGERON 25MG,
357,STUGERON FORTE,
358,SUBACT ES 1.5,
359,SUBACT FORTE 3GM,
360,STREPSILS LOZENGES (1'PIE.),
361,SUCRAFIL SUSP. 200ML,
362,SUCRAL ANO CREAM 20GM,
363,SUCRAL O SUSP. 100ML,
364,SUPRACAL C,
365,SUPRACAL ,
366,SUPRADYN,
367,SUPRAPUBIC CATHETER 10,
368,SUPRAPUBIC CATHETER 12,
369,SUPRAPUBIC CATHETER 14(CYSTOSTOMY),
